,conection,lanes,Largo,/2023-03-29_07-30.png,/2023-03-30_08-30.png,/2023-03-31_09-30.png,/2023-04-02_06-45.png,/2023-04-03_08-00.png,/2023-04-04_16-45.png,/2023-04-05_17-45.png,/2023-04-06_18-45.png,/2023-04-07_21-15.png,/2023-04-08_22-45.png,/2023-04-10_01-45.png,/2023-04-11_02-45.png,/2023-04-12_07-45.png,/2023-04-13_08-45.png,/2023-04-14_14-45.png,/2023-04-16_09-15.png,/2023-04-17_10-30.png,/2023-04-18_12-30.png,/2023-04-22_14-00.png,/2023-04-23_15-45.png,/2023-04-24_16-45.png,/2023-04-25_18-15.png,/2023-04-26_19-15.png,/2023-05-02_11-00.png,/2023-05-05_16-00.png,/2023-05-10_04-45.png,/2023-05-11_05-45.png,/2023-05-23_14-30.png,/2023-05-25_05-15.png,/2023-05-31_16-30.png
0,"(0, 3)",1,3.9579418969831943,63,63,63,0,127,63,31,63,63,63,0,0,63,127,63,42,0,63,63,127,63,127,63,63,31,0,0,127,0,63
1,"(3, 300)",1,7.297175950102471,63,63,63,0,127,63,42,63,63,63,0,0,63,127,63,63,0,63,63,127,63,127,63,63,42,0,0,127,0,63
2,"(300, 301)",1,9.279220603533833,63,63,63,0,127,63,105,63,63,63,0,0,63,127,63,63,0,63,63,127,63,127,63,63,95,0,0,127,0,63
3,"(301, 302)",1,9.661835821569264,0,0,0,0,0,63,127,0,63,63,0,0,0,0,0,0,0,63,63,0,63,0,63,63,0,0,0,0,0,63
4,"(302, 303)",2,7.833110204676264,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,31,31,0,31,0,0,31,0,0,0,0,0,0
5,"(303, 304)",2,7.879514458875396,95,63,63,31,31,42,0,63,42,63,0,0,95,31,63,63,31,63,63,31,63,63,42,63,63,0,0,63,0,42
6,"(304, 6)",3,6.7612429587213985,191,127,127,63,63,63,42,127,63,63,0,0,191,63,127,127,63,63,63,63,63,127,63,63,127,0,0,127,0,63
7,"(6, 7)",3,5.945745120965729,191,127,127,63,63,63,63,127,63,63,0,0,191,63,127,127,63,63,63,63,63,127,63,63,127,0,0,127,0,63
8,"(7, 406)",2,7.878112285279562,42,42,42,42,42,42,42,42,42,63,0,0,42,42,42,42,42,63,63,42,63,42,42,63,42,0,0,42,0,42
9,"(406, 407)",2,9.690378973330454,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
10,"(407, 408)",2,13.068809992357854,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
11,"(408, 409)",2,14.420730347951102,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
12,"(409, 410)",2,13.685711744225364,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
13,"(420, 419)",2,12.90719792470219,63,63,127,63,63,63,63,63,63,63,0,63,63,63,63,63,63,127,63,63,63,63,63,63,63,0,0,63,0,63
