Nodo,BC,CC,DC,DiBC,DiCC,DiDC
0,0.00036583792286580194,0.06548401226456417,0.006688963210702341,0.01505353415187089,0.05848982785602504,0.006688963210702341
1,0.006165884270404402,0.06812485759854181,0.010033444816053512,0.015053534151870891,0.06208471760797342,0.010033444816053512
2,0.03800899818982137,0.07290904657400633,0.013377926421404682,0.028151150473881736,0.06427343078245916,0.013377926421404682
3,0.0071650690713869454,0.06989247311827956,0.010033444816053512,0.015053534151870891,0.055288461538461536,0.010033444816053512
4,0.04344834095084247,0.07617834394904459,0.013377926421404682,0.054809527599139526,0.06823368324965769,0.013377926421404682
5,0.10036218487923619,0.0815825375170532,0.013377926421404682,0.05909209677843662,0.06846805587359743,0.013377926421404682
6,0.011952803016160878,0.07289127254997563,0.010033444816053512,0.04171191127712865,0.06427343078245916,0.010033444816053512
7,0.02146688471973622,0.0778240499739719,0.010033444816053512,0.041711911277128644,0.06042845594179466,0.010033444816053512
8,0.014604053714420058,0.07560050568900127,0.010033444816053512,0.04161754377321928,0.06864095500459137,0.010033444816053512
9,0.09306910517985066,0.08092016238159676,0.013377926421404682,0.05171709455147022,0.0715311004784689,0.013377926421404682
10,0.010032468326344997,0.07666666666666666,0.010033444816053512,0.04161754377321928,0.06427343078245916,0.010033444816053512
11,0.07486191857537026,0.08214285714285714,0.013377926421404682,0.04590011295251637,0.06823368324965769,0.013377926421404682
12,0.032326139530525926,0.071944177093359,0.013377926421404682,0.02513855175074901,0.06208471760797342,0.013377926421404682
13,0.019615494987385303,0.06883057090239411,0.013377926421404682,0.02011820855926488,0.06268343815513627,0.013377926421404682
14,0.005735480698683853,0.06455094991364421,0.010033444816053512,0.012040935428738173,0.059161060546102096,0.010033444816053512
15,0.007477415112792583,0.06728172817281729,0.010033444816053512,0.012040935428738173,0.05588785046728972,0.010033444816053512
16,0.0036944702151051573,0.06281512605042017,0.010033444816053512,0.007684170950147028,0.05336426914153132,0.010033444816053512
17,0.012180725349513631,0.06686046511627906,0.013377926421404682,0.015761444080673728,0.059161060546102096,0.013377926421404682
18,0.004626149976055792,0.06434258661502044,0.010033444816053512,0.007684170950147022,0.05966872879664738,0.010033444816053512
19,0.00025758890115610156,0.060587639311043565,0.006688963210702341,0.00768417095014702,0.05634068211795742,0.006688963210702341
