Nodo,conecciones,Betweenness_nx,Betweenness_streets,Closeness_streets,Degree_streets
0,"(0, 3)",0.01829,0.01709,0.05683,0.00595
1,"(3, 6)",0.01585,0.01311,0.05382,0.00397
2,"(6, 7)",0.04477,0.04333,0.06222,0.00794
3,"(3, 2)",0.00244,0.00199,0.05379,0.00595
4,"(2, 12)",0.02216,0.02231,0.06224,0.00794
5,"(12, 13)",0.01479,0.01394,0.06024,0.00794
6,"(13, 17)",0.0136,0.01382,0.06104,0.00794
7,"(16, 14)",0.00557,0.00438,0.05214,0.00397
8,"(14, 15)",0.01529,0.01553,0.05768,0.00794
9,"(15, 1)",0.00915,0.00757,0.05457,0.00397
10,"(1, 0)",0.01829,0.01709,0.06024,0.00595
11,"(5, 4)",0.03109,0.0296,0.06595,0.00794
12,"(4, 2)",0.02886,0.02786,0.06598,0.00794
13,"(2, 1)",0.00914,0.00754,0.06222,0.00595
14,"(7, 5)",0.00609,0.0059,0.0586,0.00595
15,"(5, 11)",0.03094,0.03124,0.06597,0.00794
16,"(11, 9)",0.02399,0.02362,0.06596,0.00794
17,"(8, 10)",0.04467,0.04834,0.06674,0.00794
18,"(10, 4)",0.02669,0.02649,0.0626,0.00595
19,"(4, 6)",0.02892,0.02823,0.06596,0.00595
20,"(9, 25)",0.04124,0.04326,0.06943,0.00794
21,"(24, 8)",0.03121,0.03282,0.06105,0.00595
22,"(15, 12)",0.00614,0.00598,0.05455,0.00595
23,"(12, 24)",0.01351,0.01434,0.06025,0.00794
24,"(24, 25)",0.00801,0.00874,0.06104,0.00794
25,"(26, 27)",0.02036,0.02226,0.06529,0.00794
26,"(27, 13)",0.00852,0.00903,0.06173,0.00794
27,"(13, 14)",0.00972,0.00916,0.06104,0.00595
28,"(19, 16)",0.01097,0.01085,0.05497,0.00595
29,"(17, 18)",0.00541,0.0042,0.05768,0.00595
30,"(16, 17)",0.00539,0.00449,0.05212,0.00595
31,"(17, 20)",0.01358,0.0141,0.05768,0.00794
32,"(23, 18)",0.00556,0.00466,0.05889,0.00397
33,"(18, 19)",0.01097,0.01085,0.05814,0.00595
34,"(20, 21)",0.01299,0.01306,0.05814,0.00794
35,"(22, 23)",0.01884,0.01961,0.06252,0.00794
36,"(25, 26)",0.02704,0.02893,0.06674,0.00794
37,"(26, 21)",0.02084,0.02198,0.06529,0.00794
38,"(23, 20)",0.01329,0.01296,0.05886,0.00595
39,"(20, 27)",0.01387,0.014,0.05814,0.00794
40,"(27, 24)",0.02571,0.02722,0.06173,0.00794
41,"(21, 22)",0.00569,0.00525,0.06173,0.00595
42,"(21, 32)",0.02814,0.02979,0.06173,0.00794
43,"(32, 33)",0.03468,0.03601,0.06252,0.00794
44,"(34, 35)",0.01929,0.02062,0.06167,0.00794
45,"(35, 22)",0.01315,0.01238,0.0584,0.00595
46,"(29, 30)",0.01269,0.01312,0.06131,0.00595
47,"(30, 33)",0.01689,0.01802,0.06381,0.00794
48,"(33, 34)",0.01816,0.01802,0.06096,0.00794
49,"(34, 37)",0.0232,0.02169,0.06168,0.00794
50,"(37, 38)",0.00972,0.00788,0.05837,0.00595
51,"(39, 36)",0.01289,0.01278,0.05285,0.00595
52,"(36, 35)",0.01193,0.01004,0.05023,0.00595
53,"(35, 32)",0.01807,0.01829,0.05837,0.00794
54,"(32, 31)",0.01154,0.01207,0.06252,0.00794
55,"(31, 28)",0.0071,0.00762,0.06096,0.00595
56,"(25, 28)",0.02221,0.02307,0.06677,0.00595
57,"(28, 29)",0.02931,0.03268,0.06529,0.00794
58,"(30, 31)",0.00972,0.01085,0.06381,0.00794
59,"(31, 26)",0.01416,0.0153,0.06096,0.00794
60,"(36, 37)",0.00096,0.00075,0.05021,0.00595
61,"(37, 40)",0.01444,0.01457,0.05839,0.00595
62,"(40, 41)",0.02299,0.02506,0.05578,0.00794
