Nodo,conecciones,Betweenness_nx,Betweenness_streets,Closeness_streets,Degree_streets
0,"(0, 3)",0.02431,0.02259,0.02025,0.00249
1,"(3, 300)",0.02197,0.0197,0.01986,0.00166
2,"(300, 301)",0.02197,0.0197,0.01948,0.00166
3,"(301, 302)",0.02197,0.0197,0.01911,0.00166
4,"(302, 303)",0.02197,0.0197,0.01876,0.00166
5,"(303, 304)",0.02197,0.0197,0.01842,0.00166
6,"(304, 6)",0.02197,0.0197,0.01809,0.00166
7,"(6, 7)",0.06509,0.06042,0.02326,0.00332
8,"(7, 406)",0.05504,0.05034,0.02274,0.00166
9,"(406, 407)",0.05504,0.05034,0.02225,0.00166
10,"(407, 408)",0.05504,0.05034,0.02178,0.00166
11,"(408, 409)",0.05504,0.05034,0.02132,0.00166
12,"(409, 410)",0.05504,0.05034,0.02089,0.00166
13,"(420, 419)",0.06964,0.06347,0.0245,0.00166
14,"(419, 418)",0.06964,0.06347,0.02393,0.00166
15,"(418, 417)",0.06964,0.06347,0.02339,0.00166
16,"(417, 416)",0.06964,0.06347,0.02286,0.00166
17,"(416, 5)",0.06964,0.06347,0.02237,0.00249
18,"(5, 4)",0.03968,0.03666,0.02394,0.00332
19,"(4, 305)",0.02775,0.02516,0.02376,0.00249
20,"(305, 306)",0.02775,0.02516,0.02322,0.00166
21,"(306, 307)",0.02775,0.02516,0.0227,0.00166
22,"(307, 308)",0.02775,0.02516,0.0222,0.00166
23,"(308, 309)",0.02775,0.02516,0.02173,0.00166
24,"(309, 2)",0.02775,0.02516,0.02127,0.00249
25,"(2, 1)",0.01085,0.01032,0.02103,0.00249
26,"(3, 2)",0.00235,0.00207,0.01985,0.00249
27,"(2, 320)",0.01924,0.0169,0.02104,0.00249
28,"(320, 321)",0.01924,0.0169,0.02062,0.00166
29,"(321, 322)",0.01924,0.0169,0.02021,0.00166
30,"(322, 323)",0.01924,0.0169,0.01982,0.00166
31,"(323, 324)",0.01924,0.0169,0.01944,0.00166
32,"(335, 334)",0.01346,0.01144,0.01783,0.00166
33,"(334, 333)",0.01346,0.01144,0.01752,0.00166
34,"(333, 332)",0.01346,0.01144,0.01723,0.00166
35,"(332, 331)",0.01346,0.01144,0.01694,0.00166
36,"(331, 1)",0.01346,0.01144,0.01667,0.00166
37,"(1, 0)",0.02431,0.02259,0.02067,0.00249
38,"(7, 5)",0.01005,0.00925,0.02273,0.00249
39,"(5, 310)",0.04001,0.03606,0.02395,0.00249
40,"(310, 311)",0.04001,0.03606,0.0234,0.00166
41,"(311, 312)",0.04001,0.03606,0.02287,0.00166
42,"(312, 313)",0.04001,0.03606,0.02236,0.00166
43,"(313, 314)",0.04001,0.03606,0.02188,0.00166
44,"(314, 11)",0.04001,0.03606,0.02142,0.00249
45,"(10, 315)",0.03119,0.02839,0.02338,0.00166
46,"(315, 316)",0.03119,0.02839,0.02286,0.00166
