,0
0,7
1,14
2,17
3,18
4,30
5,30
6,39
7,33
8,30
9,36
10,50
11,54
12,52
13,48
14,46
15,46
16,32
17,30
18,20
19,26
20,28
21,15
22,18
23,16
24,15
25,8
26,6
27,18
28,20
29,18
30,14
31,20
32,18
33,15
34,18
35,18
36,18
37,6
38,16
39,38
40,32
41,34
42,34
43,28
44,28
45,26
46,32
47,34
48,36
49,34
50,34
51,14
52,18
53,14
54,15
55,18
56,19
57,15
58,13
59,8
60,14
61,12
62,14
63,14
64,10
65,7
66,15
67,15
68,13
69,13
70,7
71,13
72,14
73,14
74,19
75,15
76,16
77,19
78,9
79,18
80,15
81,14
82,14
83,14
84,13
85,9
86,14
87,14
88,16
89,14
90,9
91,17
92,14
93,13
94,14
95,14
96,17
97,9
98,28
99,36
100,38
101,36
102,32
103,32
104,16
105,28
106,24
107,28
108,24
109,32
110,34
111,14
112,34
113,34
114,36
115,38
116,34
117,28
118,16
119,30
120,28
121,30
122,30
123,32
124,28
125,32
126,32
127,28
128,16
129,30
130,28
131,26
132,32
133,18
134,18
135,24
136,18
137,38
138,36
139,30
140,28
141,16
142,34
143,46
144,44
145,40
146,44
147,36
148,16
149,32
150,32
151,36
152,32
153,14
154,30
155,28
156,38
157,28
158,34
159,36
160,30
161,38
162,28
163,28
164,40
165,30
166,32
167,18
168,16
169,19
170,8
171,17
172,22
173,21
174,20
175,22
176,21
177,21
178,22
179,21
180,20
181,20
182,17
183,9
184,19
185,15
186,8
187,20
188,20
189,18
190,10
191,20
192,14
193,17
194,8
195,16
196,7
197,16
198,20
199,8
200,18
201,22
202,19
203,8
204,8
205,16
206,16
207,14
208,14
209,8
210,50
211,36
212,42
213,36
214,34
215,42
216,42
217,60
218,26
219,44
220,46
221,54
222,46
223,28
224,64
225,42
226,46
227,36
228,44
229,42
230,44
231,46
232,34
233,38
234,40
235,40
236,38
237,40
238,42
239,36
240,32
241,32
242,38
243,40
244,40
245,40
246,40
247,36
248,42
249,44
250,46
251,46
252,42
253,40
254,42
255,26
256,34
257,38
258,36
259,18
260,26
261,36
262,30
263,18
264,38
265,44
266,42
267,40
268,20
269,30
270,36
271,28
272,16
273,32
274,38
275,36
276,26
277,40
278,40
279,42
280,46
281,44
282,48
283,13
284,12
285,8
286,16
287,17
288,16
289,15
290,17
291,19
292,14
293,18
294,17
295,18
296,7
297,7
298,20
299,18
300,15
301,13
302,17
303,16
304,17
305,18
306,17
307,15
308,8
309,14
310,14
311,16
312,26
313,54
314,34
315,36
316,38
317,22
318,34
319,38
320,38
321,30
322,16
323,24
324,16
325,38
326,46
327,40
328,42
329,18
330,48
331,40
332,42
333,14
334,44
335,40
336,40
337,16
338,16
339,42
340,40
341,44
342,16
343,44
344,40
345,44
346,18
347,44
348,42
349,38
350,36
351,16
352,26
353,14
354,30
355,38
356,40
357,32
358,22
359,38
360,34
361,36
362,56
363,14
364,16
365,22
366,21
367,27
368,13
369,13
370,16
371,17
372,18
373,21
374,7
375,15
376,17
377,16
378,15
379,15
380,16
381,17
382,14
383,7
384,8
385,25
386,21
387,20
388,8
389,20
390,19
391,21
392,7
393,8
394,22
395,20
396,19
397,8
398,22
399,19
400,24
401,8
402,8
403,7
404,14
405,34
406,30
407,32
408,32
409,38
410,28
411,32
412,32
413,44
414,16
415,16
416,42
417,32
418,36
419,24
420,30
421,36
422,34
423,32
424,32
425,12
426,13
427,16
428,20
429,20
430,21
431,19
432,21
433,17
434,7
435,18
436,19
437,14
438,13
439,13
440,14
441,14
442,18
443,16
444,19
445,18
446,17
447,17
448,18
449,19
450,15
451,14
452,13
453,19
454,16
455,15
456,17
457,9
458,17
459,20
460,19
461,20
462,21
463,20
464,16
465,13
466,26
467,34
468,40
469,38
470,38
471,40
472,32
473,28
474,22
475,16
476,30
477,38
478,38
479,30
480,54
481,38
482,38
483,40
484,32
485,32
486,38
487,34
488,38
489,40
490,40
491,40
492,52
493,30
494,30
495,40
496,36
497,16
498,22
499,24
500,36
501,40
502,36
503,38
504,42
505,32
506,26
507,13
508,15
509,19
510,19
511,14
512,9
513,22
514,19
515,21
516,22
517,23
518,25
519,8
520,7
521,21
522,22
523,23
524,21
525,21
526,23
527,9
528,15
529,19
530,19
531,16
532,14
533,26
534,34
535,36
536,36
537,34
538,32
539,50
540,26
541,38
542,36
543,36
544,69
545,28
546,56
547,46
548,40
549,38
550,46
551,54
552,32
553,38
554,36
555,38
556,34
557,28
558,30
559,40
560,38
561,40
562,38
563,36
564,26
565,56
566,62
567,60
568,26
569,36
570,58
571,38
572,36
573,32
574,34
575,32
576,28
577,34
578,40
579,40
580,38
581,38
582,42
583,32
584,28
585,28
586,32
587,32
588,38
589,36
590,42
591,44
592,36
593,50
594,54
595,60
596,14
597,40
598,44
599,40
600,38
601,34
602,54
603,32
604,40
605,36
606,26
607,28
608,34
609,38
610,32
611,56
612,34
613,36
614,40
615,38
616,22
617,22
618,18
619,34
620,40
621,38
622,40
623,42
624,40
625,36
626,28
627,30
628,32
629,34
630,44
631,26
632,26
633,42
634,40
635,26
636,32
637,24
638,38
639,42
640,38
641,40
642,40
643,44
644,42
645,18
646,34
647,38
648,38
649,36
650,38
651,38
652,34
653,30
654,54
655,46
656,54
657,16
658,46
659,50
660,54
661,36
662,40
663,44
664,18
665,52
666,46
667,56
668,32
669,32
670,42
671,40
672,36
673,38
674,38
675,36
676,26
677,30
678,46
679,24
680,32
681,32
682,30
683,30
684,26
685,28
686,24
687,14
688,36
689,38
690,48
691,60
692,44
693,36
694,38
695,34
696,16
697,36
698,40
699,36
700,38
701,42
702,16
703,36
704,34
705,36
706,44
707,42
708,20
709,24
710,16
711,8
712,14
713,16
714,20
715,16
716,36
717,38
718,32
719,36
720,19
721,20
722,16
723,15
724,8
725,16
726,8
727,19
728,15
729,20
730,19
731,16
732,18
733,18
734,16
735,7
736,7
737,16
738,19
739,18
740,17
741,17
742,20
743,16
744,16
745,8
746,19
747,18
748,16
749,19
750,15
751,16
752,17
753,19
754,9
755,19
756,19
757,23
758,21
759,22
760,18
761,19
762,20
763,17
764,22
765,21
766,22
767,19
768,19
769,19
770,17
771,16
772,15
773,19
774,16
775,18
776,20
777,38
778,40
779,40
780,42
781,42
782,50
783,50
784,40
785,44
786,22
787,42
788,38
789,38
790,16
791,68
792,58
793,60
794,58
795,60
796,68
797,16
798,46
799,36
800,42
801,18
802,14
803,54
804,48
805,46
806,34
807,38
808,32
809,42
810,42
811,46
812,28
813,17
814,16
815,21
816,14
817,13
818,17
819,16
820,13
821,14
822,20
823,18
824,21
825,10
826,9
827,9
828,11
829,10
830,12
831,52
832,56
833,56
834,64
835,48
836,38
837,56
838,54
839,56
840,56
841,15
842,13
843,15
844,23
845,20
846,15
847,16
848,16
849,19
850,23
851,23
852,22
853,23
854,23
855,23
856,21
857,32
858,36
859,36
860,32
861,14
862,18
863,20
864,8
865,24
866,34
867,30
868,40
869,40
870,36
871,34
872,34
873,40
874,38
875,34
876,36
877,60
878,46
879,44
880,46
881,46
882,34
883,40
884,40
885,40
886,44
887,38
888,34
889,46
890,50
891,46
892,46
893,54
894,8
895,21
896,19
897,17
898,21
899,20
900,19
901,19
902,19
903,16
904,7
905,8
906,15
907,21
908,20
909,21
910,19
911,18
912,17
913,8
914,17
915,17
916,16
917,8
918,20
919,21
920,21
921,20
922,21
923,8
924,15
925,17
926,15
927,8
928,21
929,19
930,22
931,21
932,20
933,18
934,9
935,20
936,19
937,17
938,21
939,10
940,9
941,21
942,20
943,18
944,20
945,8
946,19
947,17
948,21
949,5
950,14
951,14
