,0
0,14
1,182
2,22
3,6
4,197
5,8
6,54
7,56
8,7
9,197
10,6
11,20
12,182
13,16
14,16
15,196
16,28
17,28
18,196
19,14
20,174
21,174
22,9
23,89
24,9
25,9
26,89
27,9
28,7
29,10
30,16
31,178
32,178
33,16
34,18
35,14
36,16
37,112
38,18
39,112
40,14
41,18
42,130
43,16
44,16
45,132
46,8
47,58
48,10
49,51
50,8
51,7
52,52
53,8
54,58
55,8
56,63
57,8
58,9
59,64
60,8
61,57
62,8
63,8
64,55
65,8
66,7
67,61
68,8
69,7
70,62
71,7
72,14
73,166
74,28
75,24
76,164
77,12
78,101
79,14
80,13
81,101
82,14
83,124
84,16
85,16
86,124
87,16
88,382
89,378
90,26
91,26
92,53
93,7
94,7
95,54
96,108
97,18
98,8
99,65
100,8
101,60
102,7
103,110
104,16
105,110
106,16
107,8
108,65
109,8
110,60
111,8
112,128
113,130
114,18
115,18
116,16
117,106
118,92
119,94
120,193
121,13
122,13
123,192
124,160
125,16
126,26
127,14
128,140
129,22
130,22
131,142
132,16
133,24
134,16
135,164
136,13
137,134
138,7
139,9
140,133
141,13
142,9
143,132
144,8
145,7
146,131
147,9
148,18
149,230
150,228
151,20
152,94
153,214
154,220
155,96
156,64
157,66
158,27
159,27
160,16
161,338
162,14
163,16
164,260
165,16
166,100
167,16
168,102
169,8
170,8
171,102
172,69
173,5
174,28
175,5
176,4
177,29
178,5
179,69
180,74
181,7
182,7
183,74
184,18
185,138
186,8
187,60
188,8
189,144
190,20
191,16
192,150
193,10
194,56
195,12
196,134
197,18
198,32
199,10
200,44
201,12
202,12
203,42
204,10
205,32
206,226
207,14
208,16
209,224
210,9
211,78
212,8
213,9
214,78
215,10
216,129
217,129
218,101
219,66
220,8
221,69
222,8
223,101
224,8
225,140
226,7
227,7
228,138
229,8
230,70
231,8
232,9
233,70
234,9
235,68
236,8
237,8
238,69
239,9
240,9
241,70
242,7
243,7
244,70
245,9
246,138
247,140
248,20
249,530
250,26
251,26
252,530
253,18
254,222
255,224
256,16
257,26
258,54
259,106
260,106
261,56
262,14
263,16
264,222
265,13
266,13
267,13
268,13
269,532
270,26
271,28
272,534
273,28
274,220
275,268
276,26
277,36
278,262
279,14
280,196
281,54
282,108
283,104
284,56
285,170
286,22
287,26
288,28
289,28
290,22
291,16
292,16
293,22
294,24
295,13
296,68
297,68
298,14
299,138
300,54
301,52
302,136
303,180
304,178
305,56
306,54
307,306
308,66
309,66
310,314
311,309
312,87
313,84
314,300
315,48
316,462
317,27
318,27
319,39
320,162
321,447
322,45
323,162
324,39
325,342
326,60
327,42
328,334
329,32
330,112
331,24
332,7
333,12
334,10
335,8
336,102
337,32
338,26
339,140
340,140
341,150
342,16
343,16
344,152
345,152
346,16
347,18
348,154
349,17
350,29
351,15
352,15
353,32
354,16
355,496
356,22
357,116
358,16
359,68
360,68
361,16
362,46
363,78
364,18
365,14
366,80
367,9
368,11
369,81
370,85
371,14
372,10
373,9
374,486
375,10
376,12
377,252
378,224
379,216
380,226
381,24
382,32
383,14
384,18
385,20
386,8
387,114
388,76
389,18
390,30
391,8
392,20
393,18
394,64
395,12
396,34
397,12
398,50
399,10
400,24
401,12
402,48
403,16
404,16
405,18
406,20
407,12
408,54
409,12
410,20
411,10
412,46
413,12
414,36
415,12
416,64
417,16
418,16
419,12
420,18
421,82
422,62
423,46
424,34
425,24
426,182
427,150
428,15
429,10
430,9
431,20
432,106
433,8
434,16
435,6
436,6
437,14
438,6
439,110
440,18
441,48
442,12
443,14
444,46
445,146
446,18
447,22
448,146
449,122
450,120
451,272
452,246
453,52
454,56
455,118
456,116
457,16
458,15
459,15
460,15
461,16
462,16
463,17
464,16
465,15
466,17
467,17
468,16
469,16
470,15
471,22
472,60
473,22
474,118
475,14
476,68
477,14
478,14
479,70
480,10
481,116
482,20
483,60
484,24
485,184
486,184
487,12
488,12
489,12
490,11
491,10
492,10
493,12
494,10
495,7
496,8
497,7
498,8
499,9
500,10
501,9
502,9
503,9
504,9
