Nodo,Conections,DiBC,DiCC,DiDC,BC,CC,DC
0,"(1, 2)",0.05494505494505495,0.3888888888888889,0.2857142857142857,0.0521978021978022,0.5384615384615384,0.2857142857142857
1,"(2, 3)",0.0402930402930403,0.358974358974359,0.21428571428571427,0.039377289377289376,0.4827586206896552,0.21428571428571427
2,"(3, 4)",0.18131868131868134,0.3684210526315789,0.21428571428571427,0.052564102564102565,0.4827586206896552,0.21428571428571427
3,"(4, 5)",0.2957875457875458,0.358974358974359,0.3571428571428571,0.1468864468864469,0.5833333333333334,0.3571428571428571
4,"(5, 6)",0.2197802197802198,0.45161290322580644,0.3571428571428571,0.14615384615384616,0.56,0.3571428571428571
5,"(6, 7)",0.10531135531135531,0.34146341463414637,0.14285714285714285,0.02564102564102564,0.4375,0.14285714285714285
6,"(7, 0)",0.10531135531135531,0.27450980392156865,0.21428571428571427,0.062087912087912096,0.4827586206896552,0.21428571428571427
7,"(0, 1)",0.11446886446886449,0.3888888888888889,0.3571428571428571,0.12106227106227108,0.5833333333333334,0.3571428571428571
8,"(1, 5)",0.11538461538461539,0.3783783783783784,0.3571428571428571,0.04413919413919414,0.5384615384615384,0.2857142857142857
9,"(5, 1)",0.19688644688644688,0.4375,0.42857142857142855,0.086996336996337,0.56,0.3571428571428571
10,"(2, 5)",0.14835164835164835,0.34146341463414637,0.3571428571428571,0.09230769230769231,0.5833333333333334,0.3571428571428571
11,"(5, 0)",0.14285714285714288,0.45161290322580644,0.3571428571428571,0.08369963369963371,0.5833333333333334,0.3571428571428571
12,"(0, 2)",0.1336996336996337,0.3888888888888889,0.2857142857142857,0.0782051282051282,0.5384615384615384,0.2857142857142857
13,"(6, 4)",0.037545787545787544,0.32558139534883723,0.14285714285714285,0.0,0.4375,0.14285714285714285
14,"(1, 3)",0.06410256410256411,0.4,0.21428571428571427,0.03461538461538462,0.4827586206896552,0.21428571428571427
