,Nodo,Conections,DiBC,DiCC,DiDC,BC,CC,DC,state RW,state_RW_UL,state_RWM,state_RWM_UL,MaxOcupation
0,0,"(0, 3)",0.0170933394342937,0.0568335588633288,0.0059523809523809,0.0054283356567423,0.0666666666666666,0.0059523809523809,4,8,2,5,14
1,1,"(3, 6)",0.013113251706691,0.0538174052322477,0.0039682539682539,0.0075373994123809,0.0691452874193991,0.0039682539682539,2,1,0,0,182
2,2,"(6, 7)",0.043332217920403,0.0622222222222222,0.0079365079365079,0.0202242647539408,0.0737920937042459,0.0079365079365079,11,14,1,20,22
3,3,"(3, 2)",0.001992016157026,0.0537944284341978,0.0059523809523809,0.0024888487057076,0.0664819944598338,0.0059523809523809,6,2,0,1,6
4,4,"(2, 12)",0.022312402981957,0.0622375895282785,0.0079365079365079,0.0262843582402091,0.0699417152373022,0.0079365079365079,10,8,2,197,197
5,5,"(12, 13)",0.0139449161042813,0.060236643958408,0.0079365079365079,0.0164273101876762,0.067370672370004,0.0079365079365079,8,8,0,7,8
6,6,"(13, 17)",0.0138152049531984,0.0610391183238464,0.0079365079365079,0.0126498054642463,0.0668080593849416,0.0079365079365079,53,52,0,54,54
7,7,"(16, 14)",0.004376424747058,0.0521415270018622,0.0039682539682539,0.0020300305464918,0.0611427878199684,0.0039682539682539,7,11,0,17,56
8,8,"(14, 15)",0.0155287098272045,0.0576791027695124,0.0079365079365079,0.0066967308881375,0.0632133450395083,0.0079365079365079,7,7,0,6,7
9,9,"(15, 1)",0.0075653223516046,0.054574986464537,0.0039682539682539,0.003406670852111,0.063237139272271,0.0039682539682539,12,26,0,194,197
10,10,"(1, 0)",0.0170933394342937,0.060236643958408,0.0059523809523809,0.0053005828378708,0.0655141037306642,0.0059523809523809,6,6,3,6,6
11,11,"(5, 4)",0.0295966078059233,0.0659513216435488,0.0079365079365079,0.0351641868912878,0.0747109398161873,0.0079365079365079,8,7,0,0,20
12,12,"(4, 2)",0.0278603323370435,0.065977222149496,0.0079365079365079,0.0333569554952121,0.0726958026828212,0.0079365079365079,14,9,0,81,182
13,13,"(2, 1)",0.0075399455121125,0.0622222222222222,0.0059523809523809,0.0056498840417612,0.0679245283018867,0.0059523809523809,15,16,0,16,16
14,14,"(7, 5)",0.0058964634511354,0.0585978374607603,0.0059523809523809,0.0081339201994358,0.0754716981132075,0.0059523809523809,7,3,0,6,16
15,15,"(5, 11)",0.0312438183289163,0.0659685863874345,0.0079365079365079,0.0572498250324059,0.0795203534237929,0.0079365079365079,6,11,0,1,196
16,16,"(11, 9)",0.023623283904207,0.0659599528857479,0.0079365079365079,0.0482590271915209,0.0772295433650015,0.0079365079365079,8,14,0,20,28
17,17,"(8, 10)",0.0483421949065587,0.0667372881355932,0.0079365079365079,0.0189890048300385,0.0741831027377097,0.0079365079365079,21,28,0,27,28
18,18,"(10, 4)",0.0264946191742556,0.0626009191404794,0.0059523809523809,0.0088172575536465,0.0727692751949177,0.0059523809523809,14,16,2,0,196
19,19,"(4, 6)",0.0282308946431354,0.0659599528857479,0.0059523809523809,0.0061393341677426,0.0726748377793799,0.0059523809523809,6,10,1,1,14
20,20,"(9, 25)",0.0432581474661993,0.0694310511089681,0.0079365079365079,0.0726052115000483,0.077634011090573,0.0079365079365079,25,29,0,174,174
21,21,"(24, 8)",0.0328189699328935,0.061053906723198,0.0059523809523809,0.0116654936331664,0.0711161281219133,0.0059523809523809,20,27,0,174,174
22,22,"(15, 12)",0.0059753159050233,0.0545513583721181,0.0059523809523809,0.0047212073848921,0.0654460459680561,0.0059523809523809,5,7,0,4,9
23,23,"(12, 24)",0.014342802782699,0.0602510460251046,0.0079365079365079,0.0123789838188374,0.0697288323187603,0.0079365079365079,25,22,1,88,89
24,24,"(24, 25)",0.0087441526201821,0.0610391183238464,0.0079365079365079,0.0104646573373973,0.0698447893569844,0.0079365079365079,9,9,0,9,9
25,25,"(26, 27)",0.0222554105382137,0.0652934317916828,0.0079365079365079,0.0159849577213764,0.0704500978473581,0.0079365079365079,9,9,0,9,9
26,26,"(27, 13)",0.009034502358487,0.0617344439000489,0.0079365079365079,0.0078730395058491,0.0662721893491124,0.0079365079365079,88,89,0,88,89
27,27,"(13, 14)",0.0091642135095699,0.0610391183238464,0.0059523809523809,0.0038939204377955,0.0655226209048362,0.0059523809523809,9,9,2,8,9
28,28,"(19, 16)",0.0108549759643199,0.054967826371469,0.0059523809523809,0.0018375082957509,0.0601791044776119,0.0059523809523809,7,5,0,6,7
29,29,"(17, 18)",0.0042047413177773,0.0576791027695124,0.0059523809523809,0.003985284572197,0.06351606805293,0.0059523809523809,10,10,0,8,10
30,30,"(16, 17)",0.0044904796466852,0.0521199586349534,0.0059523809523809,0.002400619978328,0.0620460421026714,0.0059523809523809,5,8,0,3,16
