Nodo,Conections,DiBC,DiCC,DiDC,BC,CC,DC
0,"(0, 3)",0.022591858595450598,0.020253929866989116,0.0024875621890547263,0.003938154279770756,0.02210086497581,0.0024875621890547263
1,"(3, 300)",0.01969658393142632,0.019857408657566727,0.001658374792703151,0.0050350584923338085,0.022536579896473754,0.001658374792703151
2,"(300, 301)",0.019696583931426325,0.019476115112560963,0.001658374792703151,0.006502961026688306,0.02299508065438737,0.001658374792703151
3,"(301, 302)",0.019696583931426325,0.019109188572515094,0.001658374792703151,0.007982424016029279,0.023476280391660664,0.001658374792703151
4,"(302, 303)",0.01969658393142633,0.01875583203732504,0.001658374792703151,0.009472896962500267,0.023981864460706333,0.001658374792703151
5,"(303, 304)",0.019696583931426332,0.018415306387332225,0.001658374792703151,0.010974379866101221,0.024513689859137752,0.001658374792703151
6,"(304, 6)",0.019696583931426332,0.01808692522271214,0.001658374792703151,0.012487560849152767,0.02507380764272943,0.001658374792703151
7,"(6, 7)",0.06041944987569556,0.023255365510326077,0.003316749585406302,0.02214292532939403,0.025666673760827464,0.003316749585406302
8,"(7, 406)",0.05034155442900102,0.022740128973865823,0.001658374792703151,0.01930481560450824,0.02602054026063692,0.001658374792703151
9,"(406, 407)",0.050341554429001005,0.02224722832002066,0.001658374792703151,0.020213306665556017,0.02639758350479359,0.001658374792703151
10,"(407, 408)",0.050341554429001005,0.021775241947132744,0.001658374792703151,0.021149597868356997,0.026797617989512044,0.001658374792703151
11,"(408, 409)",0.050341554429001005,0.021322866387312366,0.001658374792703151,0.022113566880054173,0.02722224730260485,0.001658374792703151
12,"(409, 410)",0.050341554429001005,0.02088890428516992,0.001658374792703151,0.0231078187351471,0.027674514663362248,0.001658374792703151
13,"(420, 419)",0.06347111835933265,0.02450223486387647,0.001658374792703151,0.05055893767782708,0.028343125734430083,0.001658374792703151
14,"(419, 418)",0.06347111835933265,0.023930945530310548,0.001658374792703151,0.049565167260118344,0.02786892822480011,0.001658374792703151
15,"(418, 417)",0.06347111835933268,0.023385689354275742,0.001658374792703151,0.04860179874188926,0.027424049481535383,0.001658374792703151
16,"(417, 416)",0.06347111835933268,0.022864726514361552,0.001658374792703151,0.04766612714706534,0.027005239822652155,0.001658374792703151
17,"(416, 5)",0.06347111835933268,0.02236646884272997,0.0024875621890547263,0.04729141423299301,0.026610767872903795,0.0024875621890547263
18,"(5, 4)",0.036656390706678844,0.023941397177059138,0.003316749585406302,0.03328074573538433,0.026035707346559876,0.003316749585406302
19,"(4, 305)",0.025157924072583108,0.023761673956732475,0.0024875621890547263,0.030306643772360593,0.025557886706084304,0.0024875621890547263
20,"(305, 306)",0.025157924072583097,0.023217757926958398,0.001658374792703151,0.026557154166530424,0.024976183572878268,0.001658374792703151
21,"(306, 307)",0.025157924072583094,0.02269818565083189,0.001658374792703151,0.025055671262929482,0.02442432711586366,0.001658374792703151
22,"(307, 308)",0.025157924072583097,0.02220135859060032,0.001658374792703151,0.023565198316458532,0.023900118906064208,0.001658374792703151
23,"(308, 309)",0.025157924072583108,0.02172581516843812,0.001658374792703151,0.02208573532711755,0.023401571747356166,0.001658374792703151
24,"(309, 2)",0.025157924072583108,0.021270216405933084,0.0024875621890547263,0.020718247423088178,0.02292688490931904,0.0024875621890547263
25,"(2, 1)",0.01032407120689774,0.021030237505667352,0.0024875621890547263,0.008500843478519543,0.022435957062861608,0.0024875621890547263
26,"(3, 2)",0.0020653991453520783,0.01985283223862907,0.0024875621890547263,0.0009226755935661732,0.02217360127967052,0.0024875621890547263
27,"(2, 320)",0.01689925201103745,0.021039776692254014,0.0024875621890547263,0.010886572896046071,0.02257792754844145,0.0024875621890547263
28,"(320, 321)",0.01689925201103745,0.020616441868813784,0.001658374792703151,0.009574376862898248,0.02236398026925787,0.001658374792703151
29,"(321, 322)",0.01689925201103745,0.020209806615946645,0.001658374792703151,0.009062684088213818,0.022212399160128193,0.001658374792703151
30,"(322, 323)",0.01689925201103744,0.019818901907939064,0.001658374792703151,0.008753610733192833,0.022120728553348373,0.001658374792703151
31,"(323, 324)",0.016899252011037418,0.019442832269297737,0.001658374792703151,0.008579735673660393,0.022074166270088222,0.001658374792703151
32,"(335, 334)",0.011437911869880656,0.017827050997782704,0.001658374792703151,0.007031848069015897,0.021376914350538855,0.001658374792703151
33,"(334, 333)",0.011437911869880656,0.017522193325293853,0.001658374792703151,0.007174778107850226,0.021402711720025554,0.001658374792703151
34,"(333, 332)",0.011437911869880656,0.017227586995028854,0.001658374792703151,0.007449111468308969,0.02148660205245154,0.001658374792703151
35,"(332, 331)",0.011437911869880656,0.016942723479580226,0.001658374792703151,0.007947870804806368,0.021626856036152355,0.001658374792703151
36,"(331, 1)",0.011437911869880656,0.016667127339064097,0.001658374792703151,0.008651246523674591,0.021824499176604718,0.001658374792703151
37,"(1, 0)",0.022591858595450598,0.020671568879518692,0.0024875621890547263,0.009759406595081371,0.022052773053925064,0.0024875621890547263
38,"(7, 5)",0.009248019928022409,0.022728129358109382,0.0024875621890547263,0.0059055528166263365,0.025757672839110655,0.0024875621890547263
39,"(5, 310)",0.0360627475806765,0.023948052979606425,0.0024875621890547263,0.018737696966096107,0.026272792627932817,0.0024875621890547263
40,"(310, 311)",0.036062747580676485,0.02339567005509428,0.001658374792703151,0.017361438984639467,0.02607172968415591,0.001658374792703151
41,"(311, 312)",0.03606274758067647,0.022868195005404175,0.001658374792703151,0.017271812118688577,0.02602615563900039,0.001658374792703151
42,"(312, 313)",0.03606274758067645,0.02236398026925787,0.001658374792703151,0.017596081524184147,0.026172442978363245,0.001658374792703151
43,"(313, 314)",0.03606274758067644,0.0218815204572258,0.001658374792703151,0.018129963769025863,0.026399317032594183,0.001658374792703151
44,"(314, 11)",0.03606274758067644,0.021419437340153454,0.0024875621890547263,0.02305573500681112,0.02673524130439602,0.0024875621890547263
45,"(10, 315)",0.028394523791501463,0.023382968822708235,0.001658374792703151,0.012315895363779346,0.025672137428954595,0.001658374792703151
46,"(315, 316)",0.028394523791501463,0.022856059888183455,0.001658374792703151,0.011659841190553855,0.02541515636854084,0.001658374792703151
47,"(316, 317)",0.028394523791501453,0.02235237424472699,0.001658374792703151,0.01124988577084699,0.02524438490360664,0.001658374792703151
48,"(317, 318)",0.028394523791501453,0.021870409662151133,0.001658374792703151,0.011085668186256076,0.025209557055958527,0.001658374792703151
49,"(318, 319)",0.02839452379150146,0.021408790740609245,0.001658374792703151,0.011145179527223983,0.02522326563905214,0.001658374792703151
50,"(319, 4)",0.02839452379150146,0.020966255802228752,0.0024875621890547263,0.011897212822089462,0.025375049971595093,0.0024875621890547263
51,"(4, 6)",0.03989299042559712,0.023755121336274818,0.0024875621890547263,0.008554698515614877,0.02562359240215867,0.0024875621890547263
52,"(324, 325)",0.0168992520110374,0.01908076892650898,0.001658374792703151,0.008550347668405697,0.02206205180740524,0.001658374792703151
53,"(325, 326)",0.016899252011037397,0.018731943710975116,0.001658374792703151,0.008630099743434583,0.022085889570552148,0.001658374792703151
54,"(326, 327)",0.016899252011037393,0.01839564361872512,0.001658374792703151,0.008889528850219916,0.02216463582731433,0.001658374792703151
55,"(327, 328)",0.016899252011037365,0.018071205945816352,0.001658374792703151,0.009333056453591455,0.022296997485579055,0.001658374792703151
56,"(328, 329)",0.01689925201103736,0.017758013929586383,0.001658374792703151,0.009883051871570599,0.022465630937744497,0.001658374792703151
57,"(329, 330)",0.016899252011037348,0.017455492835432046,0.001658374792703151,0.01053893948437487,0.02266235718580878,0.001658374792703151
58,"(330, 12)",0.016899252011037348,0.017163106436876484,0.0024875621890547263,0.01206446024146446,0.022949571836346338,0.0024875621890547263
59,"(12, 13)",0.003593718819457342,0.0203009796990203,0.003316749585406302,0.0032271308911302607,0.022715286672191668,0.003316749585406302
60,"(13, 342)",0.009754368882999607,0.021123430192843257,0.0024875621890547263,0.00503144921339542,0.022744846576014183,0.0024875621890547263
61,"(342, 343)",0.009754368882999609,0.020691075043749785,0.001658374792703151,0.003946902156465516,0.02255681286823155,0.001658374792703151
62,"(343, 344)",0.0097543688829996,0.02027606382084433,0.001658374792703151,0.003573973381555689,0.022444307967171014,0.001658374792703151
63,"(344, 17)",0.009754368882999591,0.019877373417721517,0.0024875621890547263,0.004184723464042351,0.02245350114501685,0.0024875621890547263
64,"(17, 18)",0.0014173082204295482,0.020256991685563115,0.0024875621890547263,0.0008099860075711149,0.022079015781187067,0.0024875621890547263
65,"(19, 16)",0.013204035149288139,0.02015306975034257,0.0024875621890547263,0.0028876697183914117,0.02192687405683533,0.0024875621890547263
66,"(16, 345)",0.0037244620603758523,0.019759154583435735,0.001658374792703151,0.0023064502128266064,0.021841495218777165,0.001658374792703151
67,"(345, 346)",0.0037244620603758523,0.019380343253840714,0.001658374792703151,0.002647398120009727,0.02194043698946641,0.001658374792703151
68,"(346, 347)",0.0037244620603758523,0.019015783415587895,0.001658374792703151,0.0030485239625178745,0.022058420061090482,0.001658374792703151
69,"(347, 14)",0.0037244620603758523,0.018664685671835823,0.001658374792703151,0.0035173829881027805,0.022194412749825167,0.001658374792703151
70,"(14, 15)",0.023502531143269362,0.02070955112133805,0.003316749585406302,0.015047346074416048,0.022517223995967065,0.003316749585406302
71,"(15, 341)",0.011437911869880656,0.020299271178737945,0.001658374792703151,0.009867953190115611,0.02218951241950322,0.001658374792703151
72,"(341, 340)",0.011437911869880656,0.01990493166963755,0.001658374792703151,0.00898363191498334,0.0219228881496428,0.001658374792703151
73,"(340, 339)",0.011437911869880657,0.019525621306565207,0.001658374792703151,0.008336154090320898,0.021740306094856957,0.001658374792703151
74,"(339, 338)",0.011437911869880657,0.019160496965460266,0.001658374792703151,0.007788676822709855,0.021583120067290656,0.001658374792703151
75,"(338, 337)",0.011437911869880657,0.018808777429467086,0.001658374792703151,0.007346471397225802,0.021459838428413824,0.001658374792703151
76,"(337, 336)",0.011437911869880656,0.01846973780936045,0.001658374792703151,0.007087672497878122,0.021386770704025535,0.001658374792703151
77,"(336, 335)",0.011437911869880656,0.018142704556737322,0.001658374792703151,0.0070071164991056594,0.02136517441139476,0.001658374792703151
