Nodo,Conections,DiBC,DiCC,DiDC,BC,CC,DC
0,"(0, 3)",0.017093339434293708,0.056833558863328824,0.005952380952380952,0.0054283356567423596,0.06666666666666667,0.005952380952380952
1,"(3, 6)",0.013113251706691068,0.053817405232247734,0.003968253968253968,0.007537399412380929,0.0691452874193991,0.003968253968253968
2,"(6, 7)",0.04333221792040307,0.06222222222222222,0.007936507936507936,0.020224264753940877,0.07379209370424597,0.007936507936507936
3,"(3, 2)",0.001992016157026097,0.053794428434197884,0.005952380952380952,0.0024888487057076816,0.0664819944598338,0.005952380952380952
4,"(2, 12)",0.022312402981957087,0.06223758952827859,0.007936507936507936,0.026284358240209124,0.06994171523730225,0.007936507936507936
5,"(12, 13)",0.013944916104281339,0.06023664395840803,0.007936507936507936,0.01642731018767628,0.067370672370004,0.007936507936507936
6,"(13, 17)",0.013815204953198417,0.06103911832384643,0.007936507936507936,0.012649805464246324,0.06680805938494168,0.007936507936507936
7,"(16, 14)",0.00437642474705809,0.0521415270018622,0.003968253968253968,0.0020300305464918036,0.06114278781996846,0.003968253968253968
8,"(14, 15)",0.015528709827204572,0.05767910276951248,0.007936507936507936,0.006696730888137541,0.06321334503950835,0.007936507936507936
9,"(15, 1)",0.007565322351604658,0.05457498646453709,0.003968253968253968,0.0034066708521110663,0.06323713927227102,0.003968253968253968
10,"(1, 0)",0.017093339434293708,0.06023664395840803,0.005952380952380952,0.00530058283787083,0.06551410373066424,0.005952380952380952
11,"(5, 4)",0.02959660780592334,0.0659513216435488,0.007936507936507936,0.0351641868912878,0.07471093981618737,0.007936507936507936
12,"(4, 2)",0.0278603323370435,0.065977222149496,0.007936507936507936,0.03335695549521218,0.07269580268282129,0.007936507936507936
13,"(2, 1)",0.00753994551211251,0.06222222222222222,0.005952380952380952,0.005649884041761284,0.06792452830188679,0.005952380952380952
14,"(7, 5)",0.005896463451135418,0.058597837460760374,0.005952380952380952,0.008133920199435896,0.07547169811320754,0.005952380952380952
15,"(5, 11)",0.031243818328916373,0.06596858638743455,0.007936507936507936,0.05724982503240592,0.07952035342379299,0.007936507936507936
16,"(11, 9)",0.023623283904207,0.06595995288574794,0.007936507936507936,0.0482590271915209,0.07722954336500153,0.007936507936507936
17,"(8, 10)",0.04834219490655871,0.06673728813559322,0.007936507936507936,0.018989004830038528,0.07418310273770974,0.007936507936507936
18,"(10, 4)",0.02649461917425564,0.06260091914047944,0.005952380952380952,0.008817257553646594,0.0727692751949177,0.005952380952380952
19,"(4, 6)",0.02823089464313549,0.06595995288574794,0.005952380952380952,0.006139334167742613,0.07267483777937996,0.005952380952380952
20,"(9, 25)",0.043258147466199326,0.06943105110896818,0.007936507936507936,0.07260521150004838,0.07763401109057301,0.007936507936507936
21,"(24, 8)",0.03281896993289353,0.06105390672319806,0.005952380952380952,0.011665493633166464,0.07111612812191337,0.005952380952380952
22,"(15, 12)",0.005975315905023373,0.05455135837211819,0.005952380952380952,0.004721207384892172,0.0654460459680561,0.005952380952380952
23,"(12, 24)",0.014342802782699096,0.0602510460251046,0.007936507936507936,0.01237898381883746,0.06972883231876037,0.007936507936507936
24,"(24, 25)",0.008744152620182157,0.06103911832384643,0.007936507936507936,0.010464657337397307,0.06984478935698447,0.007936507936507936
25,"(26, 27)",0.022255410538213734,0.06529343179168286,0.007936507936507936,0.01598495772137644,0.07045009784735812,0.007936507936507936
26,"(27, 13)",0.009034502358487018,0.061734443900048994,0.007936507936507936,0.007873039505849166,0.06627218934911243,0.007936507936507936
27,"(13, 14)",0.009164213509569943,0.06103911832384643,0.005952380952380952,0.003893920437795574,0.0655226209048362,0.005952380952380952
28,"(19, 16)",0.010854975964319906,0.05496782637146908,0.005952380952380952,0.001837508295750969,0.06017910447761194,0.005952380952380952
29,"(17, 18)",0.004204741317777387,0.05767910276951248,0.005952380952380952,0.003985284572197048,0.06351606805293006,0.005952380952380952
30,"(16, 17)",0.004490479646685273,0.052119958634953466,0.005952380952380952,0.0024006199783280164,0.06204604210267143,0.005952380952380952
31,"(17, 20)",0.014100943282106298,0.05767910276951248,0.007936507936507936,0.009624456369905275,0.06600314300680984,0.007936507936507936
32,"(23, 18)",0.004662163075965972,0.058885383806519455,0.003968253968253968,0.004482819295495755,0.0626865671641791,0.003968253968253968
33,"(18, 19)",0.010854975964319905,0.05814490078449469,0.005952380952380952,0.0036464252305233487,0.061734443900048994,0.005952380952380952
34,"(20, 21)",0.013061179323427199,0.05814490078449469,0.007936507936507936,0.010279072475115487,0.06667548617542003,0.007936507936507936
35,"(22, 23)",0.019609882278513294,0.0625155048375093,0.007936507936507936,0.01553040227816449,0.0665522250099036,0.007936507936507936
36,"(25, 26)",0.028928932875415904,0.06673728813559322,0.007936507936507936,0.04848678343391886,0.07428150331613854,0.007936507936507936
37,"(26, 21)",0.02197543295826938,0.06529343179168286,0.007936507936507936,0.03243786234804981,0.07198971575489216,0.007936507936507936
38,"(23, 20)",0.012959647631970855,0.058857876912297095,0.005952380952380952,0.0036612524066802743,0.06501547987616099,0.005952380952380952
39,"(20, 27)",0.013999411590649836,0.05814490078449469,0.007936507936507936,0.006420343479915726,0.06619385342789598,0.007936507936507936
40,"(27, 24)",0.02722031977037659,0.061734443900048994,0.007936507936507936,0.008767852429103173,0.0683111954459203,0.007936507936507936
41,"(21, 22)",0.005245965285726714,0.061734443900048994,0.005952380952380952,0.008949946708790119,0.06845035990764634,0.005952380952380952
42,"(21, 32)",0.029790646995969908,0.061734443900048994,0.007936507936507936,0.027771761235175045,0.07078651685393259,0.007936507936507936
43,"(32, 33)",0.03601498470047442,0.0625155048375093,0.007936507936507936,0.027992707182326607,0.07056846821618594,0.007936507936507936
44,"(34, 35)",0.020623065245805032,0.06166646274317876,0.007936507936507936,0.01650688739051848,0.06589958158995816,0.007936507936507936
45,"(35, 22)",0.012375845422210145,0.05840092699884125,0.005952380952380952,0.01309466086320937,0.06585652685221481,0.005952380952380952
46,"(29, 30)",0.013122864546390165,0.061313868613138686,0.005952380952380952,0.011232213994583606,0.07141844976618959,0.005952380952380952
47,"(30, 33)",0.018023925702582086,0.06380554500569692,0.007936507936507936,0.014695555484427088,0.07100591715976332,0.007936507936507936
48,"(33, 34)",0.018016394453792717,0.06095791001451379,0.007936507936507936,0.016564764407768367,0.06784223987077669,0.007936507936507936
49,"(34, 37)",0.021690818865380136,0.06168155672500306,0.007936507936507936,0.02042905306351511,0.06569343065693431,0.007936507936507936
50,"(37, 38)",0.007876587789964671,0.05837387074357193,0.005952380952380952,0.005604447554480095,0.061832903938167094,0.005952380952380952
51,"(39, 36)",0.012784874276637978,0.05285234899328859,0.005952380952380952,0.00750354538527205,0.06035205364626991,0.005952380952380952
52,"(36, 35)",0.01004338669419612,0.050234227050732584,0.005952380952380952,0.010633261097812742,0.0635240736072599,0.005952380952380952
53,"(35, 32)",0.01829060651779096,0.05837387074357193,0.007936507936507936,0.015481225305652827,0.067316682249232,0.007936507936507936
54,"(32, 31)",0.01206626881328665,0.0625155048375093,0.007936507936507936,0.012357684403170295,0.06844106463878327,0.007936507936507936
55,"(31, 28)",0.007617216716194289,0.06095791001451379,0.005952380952380952,0.004668724228749852,0.0697867626696206,0.005952380952380952
56,"(25, 28)",0.02307336721096562,0.06677265500794913,0.005952380952380952,0.025594903029191866,0.07419402325923745,0.005952380952380952
57,"(28, 29)",0.032678655497736415,0.06529343179168286,0.007936507936507936,0.02521590332455,0.07373811265544988,0.007936507936507936
58,"(30, 31)",0.010852858523974713,0.06380554500569692,0.007936507936507936,0.00752225657847255,0.06930693069306931,0.007936507936507936
59,"(31, 26)",0.015301910621067177,0.06095791001451379,0.007936507936507936,0.01337104873446164,0.06952683128707408,0.007936507936507936
60,"(36, 37)",0.000753416011865316,0.05021420743249975,0.005952380952380952,0.0006380458036736467,0.058919803600654665,0.005952380952380952
61,"(37, 40)",0.014567647087280776,0.05838739573679333,0.005952380952380952,0.007471636682772932,0.06213783750462335,0.005952380952380952
62,"(40, 41)",0.025063956832738477,0.0557830658550083,0.007936507936507936,0.01348116903057227,0.0611353711790393,0.007936507936507936
63,"(42, 43)",0.0067271634741813665,0.05404825737265415,0.007936507936507936,0.0031218312181117637,0.057149336659485205,0.007936507936507936
64,"(43, 38)",0.0029202149160967674,0.05141807794327688,0.005952380952380952,0.004917557219525306,0.05628140703517588,0.005952380952380952
65,"(38, 39)",0.01278487427663798,0.0557830658550083,0.005952380952380952,0.007062795029319831,0.059057886102648234,0.005952380952380952
66,"(41, 42)",0.005032495596718923,0.05285234899328859,0.005952380952380952,0.0022866399717112263,0.05793769398781469,0.005952380952380952
67,"(42, 45)",0.011758131321952543,0.05404825737265415,0.007936507936507936,0.006214176451636959,0.05687845615619005,0.007936507936507936
68,"(45, 46)",0.004008341628423885,0.051397103813991436,0.005952380952380952,0.0017150694634564493,0.05391527599486521,0.005952380952380952
69,"(47, 44)",0.010184922212755214,0.04685756786909632,0.005952380952380952,0.0016363929131507397,0.052571190153332635,0.005952380952380952
70,"(44, 43)",0.004701289616796576,0.044788056518261794,0.005952380952380952,0.0038524093782098794,0.055226824457593686,0.005952380952380952
71,"(43, 40)",0.008508238174881175,0.051397103813991436,0.005952380952380952,0.004341089083622198,0.057844600022954204,0.005952380952380952
72,"(44, 45)",0.003495561025382099,0.044772141778448966,0.005952380952380952,0.00180194171216039,0.05419354838709677,0.005952380952380952
73,"(45, 52)",0.011245350718910618,0.051397103813991436,0.007936507936507936,0.006466804736220046,0.057149336659485205,0.007936507936507936
74,"(52, 53)",0.0008086402221591088,0.049146757679180884,0.007936507936507936,0.0021268210559923107,0.05639476334340383,0.007936507936507936
75,"(54, 55)",0.031173104017334682,0.05312532939812375,0.007936507936507936,0.0072372492667045684,0.05633173130658321,0.007936507936507936
76,"(55, 46)",0.0041885090137548054,0.05048076923076923,0.003968253968253968,0.0020082853129062854,0.053514546612868974,0.003968253968253968
77,"(46, 47)",0.010184922212755214,0.049146757679180884,0.005952380952380952,0.000722229307705136,0.051623476390453754,0.005952380952380952
78,"(41, 48)",0.018043389665442958,0.05286343612334802,0.005952380952380952,0.011961655439518116,0.06369265765196512,0.005952380952380952
79,"(48, 49)",0.0024338098393764398,0.05404825737265415,0.007936507936507936,0.004952029999779942,0.0628977910894796,0.007936507936507936
80,"(50, 51)",0.03958534973554412,0.05854338482982925,0.007936507936507936,0.018134523062338224,0.06294492319220682,0.007936507936507936
81,"(51, 42)",0.013452799199414922,0.05588822355289421,0.007936507936507936,0.013391924937867656,0.059574468085106386,0.007936507936507936
82,"(49, 50)",0.025804286789477455,0.06191646191646192,0.007936507936507936,0.02405750890897469,0.06589958158995816,0.007936507936507936
83,"(50, 53)",0.012147659955368522,0.05857059848925043,0.007936507936507936,0.015260734433999067,0.0621838371375694,0.007936507936507936
84,"(53, 54)",0.011699333571110113,0.05588822355289421,0.005952380952380952,0.00668442917578146,0.05875495453485661,0.005952380952380952
85,"(55, 52)",0.024996523433003046,0.05046055266319584,0.005952380952380952,0.0032361664927339487,0.05708460754332314,0.005952380952380952
86,"(52, 51)",0.0354332339297548,0.049146757679180884,0.007936507936507936,0.015586989567928037,0.06033038065597319,0.007936507936507936
87,"(51, 48)",0.06156578446588396,0.05588822355289421,0.007936507936507936,0.022151660877918165,0.06378939374762688,0.007936507936507936
88,"(33, 64)",0.036022515949263464,0.06095791001451379,0.007936507936507936,0.025085668000112395,0.07147922280527584,0.007936507936507936
89,"(67, 34)",0.02429748965739252,0.061931678545097076,0.007936507936507936,0.02715982768025323,0.0673076923076923,0.007936507936507936
90,"(64, 65)",0.07896018910166162,0.06166646274317876,0.007936507936507936,0.040935133907723804,0.07387862796833773,0.007936507936507936
91,"(66, 67)",0.0353119405819673,0.06435959647554591,0.007936507936507936,0.02620705453013183,0.07028308464649281,0.007936507936507936
92,"(49, 60)",0.003702105789344258,0.061931678545097076,0.007936507936507936,0.008162452251218104,0.06577916992952232,0.007936507936507936
93,"(60, 61)",0.0017910167924368426,0.0630709548241772,0.005952380952380952,0.00413201757282749,0.06713733848408153,0.005952380952380952
94,"(62, 63)",0.016135330357534186,0.060657118786857624,0.005952380952380952,0.01466329819140797,0.06609836065573771,0.005952380952380952
95,"(63, 50)",0.02592872290143495,0.05951818611242324,0.007936507936507936,0.015697800607230007,0.06440071556350627,0.007936507936507936
96,"(65, 68)",0.08856568270702482,0.06498194945848375,0.007936507936507936,0.048564173093308245,0.07698182373606231,0.007936507936507936
97,"(68, 69)",0.0825344301054326,0.061068702290076333,0.005952380952380952,0.05436423749140566,0.07962085308056872,0.005952380952380952
98,"(69, 70)",0.0020987387495481793,0.0576,0.005952380952380952,0.008026349885314974,0.07532506351815872,0.005952380952380952
99,"(70, 61)",0.019177650051634677,0.06678150258380813,0.005952380952380952,0.03515658333806726,0.07363038714390066,0.005952380952380952
100,"(61, 62)",0.022956738414648244,0.06451612903225806,0.007936507936507936,0.033030564328912576,0.06947890818858561,0.007936507936507936
101,"(62, 57)",0.00483333648653734,0.06068633353401565,0.003968253968253968,0.009450220072401434,0.06519208381839348,0.003968253968253968
102,"(57, 58)",0.007572709019292443,0.05813148788927336,0.005952380952380952,0.006428222260149929,0.061553492916463115,0.005952380952380952
103,"(53, 56)",0.0012569666064175193,0.055900621118012424,0.007936507936507936,0.004493151019827817,0.05878236529041288,0.007936507936507936
104,"(56, 57)",0.0007513009621785545,0.05691699604743083,0.005952380952380952,0.0024451654768002855,0.059921531328022824,0.005952380952380952
105,"(59, 54)",0.01748569887564778,0.05400771538791256,0.005952380952380952,0.003752901052677184,0.05741626794258373,0.005952380952380952
106,"(58, 59)",0.007572709019292443,0.05497981891567579,0.003968253968253968,0.001863723504242664,0.05870704717530577,0.003968253968253968
107,"(68, 71)",0.004043181031015924,0.06105390672319806,0.005952380952380952,0.006592422486041787,0.07293777134587555,0.005952380952380952
108,"(71, 60)",0.015301556188533294,0.06545454545454546,0.007936507936507936,0.025189262867703736,0.07142857142857142,0.007936507936507936
109,"(60, 63)",0.017212645185440696,0.06305517327661704,0.007936507936507936,0.02013338190231817,0.0674247491638796,0.007936507936507936
110,"(63, 56)",0.00741925264153999,0.05954631379962193,0.007936507936507936,0.012512439225107776,0.06346008562075044,0.007936507936507936
111,"(56, 59)",0.007924918285778963,0.0569041436152196,0.005952380952380952,0.005394088021465645,0.05995004163197336,0.005952380952380952
112,"(48, 67)",0.07717536429195049,0.054059851978976725,0.007936507936507936,0.03675279877103447,0.06746987951807229,0.007936507936507936
113,"(66, 49)",0.027072582739445277,0.06439248754311996,0.007936507936507936,0.03355413613257848,0.06981576395622663,0.007936507936507936
114,"(65, 66)",0.02696289810408763,0.06496519721577726,0.007936507936507936,0.029988423561330288,0.0724762726488352,0.007936507936507936
115,"(67, 64)",0.08818981521652486,0.06191646191646192,0.007936507936507936,0.03615114150261599,0.07109606432501057,0.007936507936507936
116,"(70, 71)",0.04668000037484224,0.066746126340882,0.007936507936507936,0.05765615471339627,0.07454518562342849,0.007936507936507936
117,"(71, 66)",0.03542162521732492,0.06542056074766354,0.007936507936507936,0.03462086307320393,0.07230989956958393,0.007936507936507936
118,"(69, 112)",0.0784476197853079,0.0576,0.005952380952380952,0.05708916348514466,0.08329201784828955,0.005952380952380952
119,"(115, 70)",0.06375891167692861,0.06682577565632458,0.005952380952380952,0.0896012497686429,0.07782581840642372,0.005952380952380952
120,"(29, 72)",0.01756771938076969,0.06134371957156767,0.005952380952380952,0.009355282529755812,0.0744240992321323,0.005952380952380952
121,"(72, 73)",0.005708583619510911,0.06380554500569692,0.005952380952380952,0.005560162564069047,0.07401967983551182,0.005952380952380952
122,"(74, 75)",0.016794105419301535,0.06621994481671266,0.005952380952380952,0.011711744255281601,0.0740414279418246,0.005952380952380952
123,"(75, 30)",0.015753919680166564,0.06496519721577726,0.007936507936507936,0.012944359850935625,0.07094594594594594,0.007936507936507936
124,"(64, 75)",0.04525214206412731,0.06166646274317876,0.007936507936507936,0.024614802950678902,0.0724762726488352,0.007936507936507936
125,"(75, 72)",0.04629232780326235,0.06496519721577726,0.007936507936507936,0.022514863309098198,0.07383533548198067,0.007936507936507936
126,"(72, 79)",0.05815146356452089,0.06383787207093097,0.005952380952380952,0.029146022798956228,0.0774074642911995,0.005952380952380952
127,"(79, 76)",0.08202823659636392,0.07088607594936709,0.007936507936507936,0.04701187196503112,0.08131655372700872,0.007936507936507936
128,"(76, 83)",0.03859426926382352,0.06625476534770607,0.005952380952380952,0.027060520819067183,0.07947019867549669,0.005952380952380952
129,"(83, 80)",0.03069793431977471,0.07043040804918949,0.007936507936507936,0.015656101833002242,0.0800381133873273,0.007936507936507936
130,"(81, 82)",0.04479662486994769,0.07352297592997811,0.007936507936507936,0.04544504234317467,0.08545269582909461,0.007936507936507936
131,"(82, 77)",0.04710685606110588,0.07046979865771812,0.007936507936507936,0.047613765518333774,0.0846489754786698,0.007936507936507936
132,"(77, 78)",0.03007430248726413,0.07043040804918949,0.007936507936507936,0.030256524460466526,0.0814611281719735,0.007936507936507936
133,"(78, 73)",0.047653913509241995,0.07129721318432593,0.005952380952380952,0.051086027851305955,0.0814874696847211,0.005952380952380952
134,"(73, 74)",0.05535056869932952,0.07088607594936709,0.007936507936507936,0.050755598559331996,0.07811531308121512,0.007936507936507936
135,"(74, 65)",0.03656839170945121,0.06625476534770607,0.005952380952380952,0.03154437143597893,0.07561890472618155,0.005952380952380952
136,"(76, 77)",0.04144589576196359,0.06621994481671266,0.005952380952380952,0.020453165778162342,0.08301762477351342,0.005952380952380952
137,"(77, 108)",0.05847844933580524,0.07045009784735812,0.007936507936507936,0.04178482518699121,0.08662770711584737,0.007936507936507936
138,"(108, 109)",0.029535920560132503,0.07125689240774777,0.007936507936507936,0.02438974689244119,0.08578723404255319,0.007936507936507936
139,"(110, 111)",0.04275574278359664,0.07386780008793786,0.007936507936507936,0.0409000039793479,0.08637532133676093,0.007936507936507936
140,"(111, 78)",0.03946831248324378,0.07274826789838337,0.007936507936507936,0.04642150099560091,0.08411214953271028,0.007936507936507936
141,"(78, 79)",0.021888701461266043,0.07125689240774777,0.005952380952380952,0.018711316456965985,0.08075628905624099,0.005952380952380952
142,"(109, 110)",0.05244789663465178,0.07405230678812812,0.007936507936507936,0.06503382305628459,0.08839003858295336,0.007936507936507936
143,"(110, 113)",0.04410361109693448,0.07386780008793786,0.007936507936507936,0.05744212449357357,0.08682170542635659,0.007936507936507936
144,"(113, 114)",0.027160859879030656,0.0727062896710906,0.005952380952380952,0.03795574239440519,0.08300395256916997,0.005952380952380952
145,"(115, 112)",0.01564094611879333,0.06675496688741722,0.005952380952380952,0.015195031608467609,0.0828266228430567,0.005952380952380952
146,"(112, 111)",0.03857815110300215,0.06667548617542003,0.007936507936507936,0.044693472350578745,0.08536585365853659,0.007936507936507936
147,"(111, 108)",0.04186558140335478,0.0727062896710906,0.007936507936507936,0.0392465784378621,0.08618331053351573,0.007936507936507936
148,"(112, 113)",0.055510414801099264,0.06664022213407378,0.007936507936507936,0.03733259999101704,0.08200455580865604,0.007936507936507936
149,"(113, 116)",0.07245316601900338,0.0727062896710906,0.007936507936507936,0.05572778067315971,0.08474861274592231,0.007936507936507936
150,"(117, 114)",0.0522389979166911,0.06435959647554591,0.003968253968253968,0.054680653281024144,0.0790836340812804,0.003968253968253968
151,"(114, 115)",0.08138792936629831,0.07149950347567031,0.007936507936507936,0.09880216841939941,0.08167233835683034,0.007936507936507936
152,"(116, 124)",0.06953685571369367,0.07149950347567031,0.007936507936507936,0.055319005816230817,0.08250122769684072,0.007936507936507936
153,"(124, 126)",0.0689081700900668,0.07059812298641266,0.007936507936507936,0.053962526322544654,0.08134280180761781,0.007936507936507936
154,"(129, 125)",0.05163652236699834,0.06411398040961709,0.003968253968253968,0.051395326370562024,0.07700534759358289,0.003968253968253968
155,"(125, 117)",0.06756712580753803,0.06872102536133079,0.007936507936507936,0.061287620195260434,0.0778138026864289,0.007936507936507936
156,"(109, 118)",0.022706955545637737,0.07409585416054101,0.005952380952380952,0.018993547166571055,0.0865533230293663,0.005952380952380952
157,"(119, 110)",0.03441145724587928,0.06904109589041096,0.007936507936507936,0.03249987381240797,0.08390211420009988,0.007936507936507936
158,"(118, 120)",0.029116983661147247,0.07386780008793786,0.007936507936507936,0.020038051484529095,0.0841964584029402,0.007936507936507936
159,"(121, 119)",0.02257704716523234,0.06832045546970313,0.007936507936507936,0.02050698606892502,0.08005082592121983,0.007936507936507936
160,"(117, 116)",0.013340056320270296,0.0643267389917039,0.005952380952380952,0.009843434756592797,0.0797847079309799,0.005952380952380952
161,"(116, 119)",0.01625636662557992,0.07149950347567031,0.007936507936507936,0.013967290155798395,0.08177835469738763,0.007936507936507936
162,"(119, 118)",0.004421956544932972,0.06904109589041096,0.005952380952380952,0.004235610636591281,0.08188464662875711,0.005952380952380952
163,"(120, 121)",0.011765217463172578,0.06881485527034407,0.005952380952380952,0.0066622921905368036,0.08112023177209078,0.005952380952380952
