,Unnamed: 0,Nodo,Conections,DiBC,DiCC,DiDC,BC,CC,DC,state RW,state_RW_UL,state_RWM,state_RWM_UL,MaxOcupation,mean_state_RW,mean_state_RW_lim,mean_state_RWM,mean_state_RWM_lim
0,0,0,"(0, 3)",0.0225918585954505,0.0202539298669891,0.0024875621890547,0.0039381542797707,0.02210086497581,0.0024875621890547,15,7,0,7,7,18.71122,5.014629380231852,29.16267123287671,4.026649346559597
1,1,1,"(3, 300)",0.0196965839314263,0.0198574086575667,0.0016583747927031,0.0050350584923338,0.0225365798964737,0.0016583747927031,9,1,0,1,14,9.37494,2.5098629485859147,0.8588062622309197,0.824515824279641
2,2,2,"(300, 301)",0.0196965839314263,0.0194761151125609,0.0016583747927031,0.0065029610266883,0.0229950806543873,0.0016583747927031,7,3,2,2,17,9.3273,2.5226174443476195,0.861252446183953,0.8281766650921115
3,3,3,"(301, 302)",0.0196965839314263,0.019109188572515,0.0016583747927031,0.0079824240160292,0.0234762803916606,0.0016583747927031,12,2,1,0,18,9.37104,2.5176001478782117,0.8617906066536204,0.8369941741458038
4,4,4,"(302, 303)",0.0196965839314263,0.018755832037325,0.0016583747927031,0.0094728969625002,0.0239818644607063,0.0016583747927031,13,4,1,2,30,9.38376,2.5095724735271596,0.8492172211350294,0.8469138718312077
5,5,5,"(303, 304)",0.0196965839314263,0.0184153063873322,0.0016583747927031,0.0109743798661012,0.0245136898591377,0.0016583747927031,6,3,0,0,30,9.38182,2.5163590271726215,0.861399217221135,1.1262793260903794
6,6,6,"(304, 6)",0.0196965839314263,0.0180869252227121,0.0016583747927031,0.0124875608491527,0.0250738076427294,0.0016583747927031,6,2,1,3,39,9.37626,2.5230399535239907,0.8610567514677103,9.133049913399464
7,7,7,"(6, 7)",0.0604194498756955,0.023255365510326,0.0033167495854063,0.022142925329394,0.0256666737608274,0.0033167495854063,23,16,9073,33,33,20.94506,14.396366421083208,7447.887915851272,31.718784443394743
8,8,8,"(7, 406)",0.050341554429001,0.0227401289738658,0.0016583747927031,0.0193048156045082,0.0260205402606369,0.0016583747927031,11,5,1,3,30,10.46532,7.239589109825979,1.0067514677103717,1.0180680207841284
9,9,9,"(406, 407)",0.050341554429001,0.0222472283200206,0.0016583747927031,0.020213306665556,0.0263975835047935,0.0016583747927031,13,3,1,1,36,10.47346,7.217565819007632,0.9845890410958904,1.0149976381672177
10,10,10,"(407, 408)",0.050341554429001,0.0217752419471327,0.0016583747927031,0.0211495978683569,0.026797617989512,0.0016583747927031,7,11,0,1,50,10.45132,7.2085346853626975,1.0037671232876713,1.007361045504645
11,11,11,"(408, 409)",0.050341554429001,0.0213228663873123,0.0016583747927031,0.0221135668800541,0.0272222473026048,0.0016583747927031,12,7,0,0,54,10.47378,7.253188623940426,0.9870841487279843,1.007164226106125
12,12,12,"(409, 410)",0.050341554429001,0.0208889042851699,0.0016583747927031,0.0231078187351471,0.0276745146633622,0.0016583747927031,15,6,0,2,52,10.49228,7.194010932424939,0.986399217221135,1.0109825224374114
